['16.689', '4.072']
['17.217', '4.353']
['20.662', '5.311']
['19.014', '4.111']
['21.310', '5.120']
['19.281', '4.686']
['16.731', '4.675']
['20.555', '5.307']
['20.032', '4.915']
['17.976', '4.413']
['18.832', '5.142']
['18.883', '4.951']
['18.483', '4.411']
['19.435', '5.396']
['20.021', '5.631']
['17.180', '5.155']
['20.944', '4.995']
['20.837', '5.378']
['21.648', '5.363']
['19.370', '5.375']
['15.874', '4.826']
['19.388', '5.027']
['17.052', '4.594']
['17.205', '5.022']
['20.113', '5.095']
['15.995', '4.119']
['18.761', '5.125']
['20.217', '5.817']
['19.685', '5.703']
['17.341', '5.133']
['18.484', '5.512']
['18.883', '5.277']
['18.528', '5.315']
['19.516', '4.811']
['22.174', '5.802']
['21.921', '6.213']
['19.109', '4.730']
['17.931', '5.488']
['20.148', '6.480']
['19.663', '5.297']
['15.942', '4.740']
['17.510', '5.168']
['20.271', '5.665']
['20.997', '5.712']
['20.958', '5.347']
['20.481', '4.924']
['19.462', '5.079']
['19.079', '4.883']
['16.601', '4.290']
['20.805', '5.350']
['20.740', '5.740']
['19.468', '5.013']
['18.899', '5.142']
['17.576', '5.474']
['21.047', '5.763']
['18.380', '5.270']
['20.538', '5.543']
['18.147', '4.964']
['21.546', '5.784']
['19.930', '5.268']
['18.573', '4.656']
['18.541', '4.887']
['19.702', '5.356']
['18.868', '4.864']
['18.810', '4.984']
['19.876', '5.227']
['18.610', '5.277']
['19.095', '4.820']
['18.633', '5.381']
['19.131', '5.258']
['21.150', '5.482']
['18.033', '4.824']
['17.015', '4.007']
['18.137', '4.530']
['16.603', '4.344']
['21.387', '5.286']
['19.440', '5.473']
['21.183', '5.869']
['18.173', '4.827']
['19.865', '5.470']
['17.933', '4.762']
['20.736', '5.844']
['18.983', '4.967']
['17.458', '4.825']
['18.135', '4.809']
['19.605', '4.429']
['17.742', '4.346']
['21.396', '5.621']
['18.628', '4.955']
['21.274', '5.457']
['17.258', '4.021']
['18.680', '4.548']
['20.950', '5.377']
['21.076', '5.478']
['20.066', '5.355']
['17.667', '4.567']
['19.488', '4.741']
['18.848', '4.966']
['21.373', '5.472']
['20.838', '5.639']
['17.552', '4.537']
['19.686', '4.970']
['16.897', '4.340']
['19.621', '4.589']
['17.644', '4.036']
['21.804', '5.317']
['20.991', '5.246']
['17.546', '4.739']
['17.479', '4.534']
['17.511', '4.782']
['16.678', '4.196']
['21.523', '5.916']
['21.736', '5.663']
['19.074', '4.514']
['18.915', '5.109']
['20.954', '5.312']
['18.850', '4.550']
['20.146', '4.955']
['18.186', '4.446']
['21.103', '5.273']
['18.743', '4.484']
['18.372', '4.808']
['19.265', '4.677']
['20.444', '5.657']
['18.581', '5.068']
['20.469', '5.143']
['17.297', '4.081']
['20.569', '5.213']
['18.190', '4.619']
['18.128', '4.287']
['21.869', '5.298']
['18.369', '4.725']
['21.315', '5.356']
['18.228', '4.892']
['18.518', '5.319']
['17.471', '4.634']
['21.429', '5.536']
['21.925', '5.473']
['19.175', '4.880']
['18.393', '5.137']
['17.041', '4.790']
['16.759', '4.941']
['18.248', '4.879']
['19.155', '4.948']
['17.912', '4.793']
['20.040', '5.569']
['18.131', '4.851']
['21.472', '5.446']
['21.326', '5.149']
['17.710', '4.589']
['18.952', '4.817']
['18.316', '4.254']
['20.863', '5.067']
['18.175', '4.732']
['17.719', '4.565']
['20.206', '5.153']
['19.168', '4.916']
['18.188', '4.780']
['18.359', '4.663']
['17.728', '4.391']
['19.223', '4.706']
['22.287', '5.578']
['21.308', '5.173']
['19.113', '4.855']
['20.139', '4.980']
['18.558', '4.476']
['19.806', '5.083']
['19.080', '4.418']
['19.272', '4.596']
['19.386', '4.636']
['20.168', '4.744']
['16.980', '3.935']
['19.435', '4.706']
['18.781', '4.572']
['20.953', '4.905']
['21.019', '5.246']
['17.972', '4.845']
['20.298', '5.075']
['20.805', '5.581']
['16.430', '4.457']
['19.102', '4.809']
['21.084', '5.246']
['20.367', '5.186']
['20.068', '5.255']
['17.652', '4.987']
['15.882', '4.563']
['19.743', '5.591']
['19.542', '5.393']
['18.810', '5.234']
['18.785', '5.056']
['21.091', '5.716']
['18.500', '4.944']
['20.393', '5.829']
['19.091', '5.243']
['18.269', '5.298']
['19.154', '5.229']
['18.409', '5.284']
['17.934', '5.150']
['18.343', '5.325']
['20.661', '5.877']
['14.890', '4.252']
['19.131', '5.431']
['19.935', '5.546']
['20.747', '6.064']
['16.415', '4.854']
['19.330', '5.389']
['20.514', '5.566']
['19.211', '4.933']
['22.005', '5.812']
['22.489', '6.151']
['18.101', '5.259']
['18.264', '5.012']
['21.062', '6.263']
['16.039', '4.664']
['22.700', '6.613']
['21.797', '6.123']
['19.271', '5.615']
['21.001', '5.662']
['20.380', '5.307']
['19.059', '4.493']
['20.725', '5.052']
['19.447', '4.972']
['19.477', '5.418']
['20.023', '5.351']
['18.173', '4.950']
['16.980', '4.928']
['22.394', '6.162']
['21.596', '5.688']
['16.995', '4.838']
['18.291', '4.807']
['17.901', '4.848']
['17.343', '4.419']
['16.956', '4.647']
['18.511', '5.008']
['21.719', '5.355']
['20.157', '5.242']
['18.737', '4.956']
['19.226', '5.021']
['19.901', '5.137']
['19.076', '4.814']
['17.489', '4.492']
