index#1:,index#2:,index#3:,index#4:,index#5:,index#6:,index#7:,index#8:,index#9:,index#10:,index#11:,index#12:,index#13:,index#14:,index#15:,index#16:,index#17:,index#18:,index#19:,index#20:,index#21:,index#22:,index#23:,index#24:,index#25:,index#26:,index#27:,index#28:,index#29:,index#30:,index#31:,index#32:,index#33:,index#34:,index#35:,index#36:,index#37:,index#38:,index#39:,index#40:,index#41:,index#42:,index#43:,index#44:,index#45:,index#46:,index#47:,index#48:,index#49:,index#50:,index#51:,index#52:,index#53:,index#54:,index#55:,index#56:,index#57:,index#58:,index#59:,index#60:,index#61:,index#62:,index#63:,index#64:
24.187,21.024,23.707,25.298,24.352,26.926,24.352,20.616,23.77,22.804,23.77,21.587,20.616,20.616,19.416,18.439,17.464,16.492,16.492,15.297,14.56,13.342,12.649,13,12.083,12.083,11.18,10.817,10,9.22,9.899,8.485,7.81,8.602,8.602,8.062,8.944,8.544,8.246,9.22,7.28,8.246,8.062,8.062,8.062,8,8.062,7,7,7.071,7.071,7.071,0,0,0,0,0,0,0,0,0,0,0,0
26.077,26.173,26.306,25.495,26.683,25.71,25,25.298,24.352,23.409,23.409,22.472,21.541,20.616,19.698,19.698,17.464,17.464,16.155,16.155,14.866,14.56,14.56,13.342,13.153,12.166,11.045,11,10.05,11.045,10.198,9.487,9.487,9.849,9.849,10.296,10,10,10,9.899,10.63,9.899,10.63,10.63,10.63,11.402,10,10.817,10.817,10.296,10.296,9.849,0,0,0,0,0,0,0,0,0,0,0,0
26.173,27.586,26.907,27.659,27.019,27.203,26.627,26.077,24.698,23.324,23.324,22.472,21.954,21.954,20.591,19.723,19.235,17.493,17.493,16.643,15.811,15,14.213,14.213,13.454,13.454,12.806,11.402,11.662,11.18,11.18,10.77,10.44,10.198,11.18,11.045,11.045,11,11,12.042,11.045,12.166,11.18,11.18,11.18,11.18,11.402,11.402,10.77,11.18,12.083,11.18,0,0,0,0,0,0,0,0,0,0,0,0
26.401,27.295,26.42,28.302,27.459,27.203,26.401,26.249,25.495,24.839,24.839,24.083,22.672,22.672,21.932,20.518,20.518,19.105,18.439,18.439,17.804,17.029,16.401,16.643,16.125,15.264,14.318,14.318,13.928,13.601,13.601,13.601,13.342,13.342,13.153,13.038,14,14,14.036,14.036,13.038,14.036,13.153,14.142,13.153,14.142,13.153,12.166,13.342,12.649,12.649,12.649,0,0,0,0,0,0,0,0,0,0,0,0
26.249,27.019,27.803,27.203,27.459,26.42,25.942,25.942,25.495,24.597,24.166,23.77,22.847,22.847,20.616,20.616,19.313,18.788,18.788,17.889,17.889,17,16.125,16.643,15.264,15,14.213,14.213,13.454,14.142,13.454,14.213,13.601,13.601,13.416,14.213,13.038,13.416,13.416,13.928,14.318,14.318,13.928,13.601,13.601,13.601,13.601,13.342,13.342,13.153,13.153,12.166,0,0,0,0,0,0,0,0,0,0,0,0
29.682,30.017,29.967,29.967,29.547,29.155,28.231,28.46,27.514,27.203,25.962,25.962,24.739,24.042,23.537,22.804,20.881,19.925,18.682,19.925,18.028,17.464,17.088,16.553,16.553,15.652,14.422,15,13.454,14.213,14.142,13.454,13.454,12.806,13.601,14.422,14.422,13.416,13.416,13.416,13.416,13.416,12.649,13,12.649,12.649,12.649,11.402,11.402,11.18,11.18,11.18,0,0,0,0,0,0,0,0,0,0,0,0
25.632,26,25.08,26.401,25.495,25.554,25.554,23.854,23.022,22.472,23.022,21.401,20.809,20,20,18.601,17.205,16.643,16.643,15.264,15.264,14.765,13.416,13,13,12.649,11.402,11.18,11.045,11,12,11.045,11.045,11.045,11.18,10.198,10.44,11.402,10.44,10.77,10.77,10.77,9.849,11.18,10.296,10.296,10.296,9.434,9.434,10,9.434,9.22,0,0,0,0,0,0,0,0,0,0,0,0
30.806,30.806,30.594,31.401,30.265,30.15,30.067,29.017,28.018,28.018,27,26,25,24,23,21,21,20.025,19.026,18.028,18.111,17.117,16.125,15.297,14.318,13.601,13,12.53,11.662,12.207,11.402,11.402,11.314,10.63,10.817,11.18,10.817,11.662,12.083,11.18,10.77,11.402,10.44,10.44,10.44,10.198,10.198,10.198,10.05,10.05,10,10,0,0,0,0,0,0,0,0,0,0,0,0
31.257,31.575,30.594,31.78,31.048,30.364,29.732,29.732,29.155,27.514,26.571,25.632,24.698,24.698,23.77,21.541,20.616,18.974,18.974,18.028,17.72,16.492,14.318,15.133,15.133,14.036,13.038,12.042,12.166,10.44,11.402,12.083,11.18,11.662,10.817,10.63,11.314,11.314,11.314,12.042,11.402,11.662,11.662,11.662,11.662,12.53,11.18,12.083,11.705,12.649,12.649,11.18,0,0,0,0,0,0,0,0,0,0,0,0
27.203,27.203,25.632,26.926,26,26.833,25.495,25.06,24.187,23.324,23.854,22.472,21.095,19.723,20.248,18.028,18.358,16.125,16.125,15.652,14.318,14.318,13,12.649,11.705,12.369,11.045,10.05,10.05,10.05,10.198,10.198,9.487,9.849,7.28,8.944,10.817,10.817,9.434,10.63,10,9.899,10.63,10.63,10.63,12.042,10.63,10,10,10.817,10.296,9.434,0,0,0,0,0,0,0,0,0,0,0,0
25.08,25.179,25.179,25.318,24.515,24.739,23.77,24.042,23.087,22.136,21.19,21.19,19.925,18.974,18.028,18.028,16.763,15.811,15.524,14.56,13.342,13.342,13.153,12.042,12.042,12,11.045,11.18,10.198,10.44,10.44,10.77,9.849,10.296,10.296,10.817,10.817,10.63,10.63,10.63,10.63,11.314,10.63,10.63,10.63,10.63,10,10,10.296,10.296,10.296,10.296,0,0,0,0,0,0,0,0,0,0,0,0
24.759,26.173,24.759,26.249,25.612,25,23.854,24.698,23.324,21.095,21.954,20.591,20.125,19.235,17.889,17,17,15.264,15.264,14.422,13.601,12.806,12.042,12.042,12.042,12.042,11.402,10.817,11.18,10.77,10.77,10.77,11.705,11.402,11.18,11.18,12.166,12.042,11.045,12.042,12,12,11,12.042,12.042,12.042,12.042,12.042,12.166,12.369,12.166,12.166,0,0,0,0,0,0,0,0,0,0,0,0
29.698,29.069,29.069,29.206,28.601,28.844,27.459,26.42,25.554,25.06,25.06,23.707,22.361,21.471,20.125,19.723,18.868,17.493,17.493,17.205,15.811,15.62,15.62,14.866,14.142,13.454,13.601,13.038,13.416,13,13,13.928,13.601,13.601,13.153,14.318,14.142,14.142,14.036,14.036,14,14,14,14,14.036,14,14,14.142,14.142,13.153,14.142,14.142,0,0,0,0,0,0,0,0,0,0,0,0
28.018,27.459,27.785,28.653,26.833,27.313,26,26,24.352,23.77,23.409,22.136,21.19,20.248,19.925,18.974,18.028,17.088,16.155,15.232,15.652,14.765,13.892,14.422,13.601,12.806,12.728,12.728,12.806,12.207,13.038,13.038,12.53,12.53,13,12.649,13.601,13.601,12.649,13.601,13.601,14.318,13.342,13.342,13.153,13.153,13.153,13.153,13.038,13.038,13.038,13.038,0,0,0,0,0,0,0,0,0,0,0,0
29.682,23.854,26.926,29.547,23.601,25.495,22.804,26.907,23.345,21.26,24.042,21.932,21.213,20.518,19.799,18.385,17.692,16.279,16.971,15.556,14.866,14.213,12.806,13.601,13.038,11.662,11.18,10.77,11.705,10.44,10.44,11.18,10.05,11.045,11.045,10,11,11.045,11.045,11.045,11.18,11.18,10.198,11.402,11.402,10.44,10.44,10.77,10.77,10.77,10.77,10.296,0,0,0,0,0,0,0,0,0,0,0,0
29.411,29.682,29.682,28.653,29.53,28.636,27.313,26.571,25.632,25.298,24.352,23.087,23.087,22.136,20.881,20.248,18.028,17.088,16.155,16.155,15.232,14.765,13.416,13.038,12.207,11.402,11.314,10.817,10.296,10.296,10.77,10.44,10.44,10.44,11.045,11.18,11.045,11,12.042,12.042,11.045,11.18,11.402,11.705,12.369,12.649,12.649,12.649,13,12.53,13.416,12.53,0,0,0,0,0,0,0,0,0,0,0,0
26.833,26.42,26.42,27.459,25.239,26.401,24.839,24.083,23.345,21.932,21.932,21.213,20.518,19.105,19.105,17.692,17.029,16.279,15.62,14.213,13.601,13.601,12.207,12.53,11.18,12.083,10.44,10.05,10.05,11,10.05,10.05,10.198,10.198,9.22,9.487,11.18,11.18,10.296,11.662,10.817,12.207,10.817,12.042,11.402,12.042,12.042,12.042,12.042,12.806,12.806,12.806,0,0,0,0,0,0,0,0,0,0,0,0
28.32,27.659,27.019,27.203,26.627,26.926,25.554,25.06,24.597,23.259,23.259,21.932,21.541,20.616,19.698,18.385,17.889,17.464,16.125,16.125,14.765,13.892,13.038,13.601,12.806,12.806,11.314,11.402,11.402,10.296,11.18,11.18,10.77,10.77,11.402,11.402,12.369,12.166,12.166,12.042,12.042,12.042,12,12,12,12.042,12.042,12.166,12.166,12.166,12.166,12.166,0,0,0,0,0,0,0,0,0,0,0,0
33.015,33.287,31.385,34.482,31.765,33.106,30.463,30.083,29.732,27.857,27.857,26.249,25.298,24.352,24.352,23.087,22.136,20.248,20.248,18.385,17.464,17.464,15.652,15.264,15.264,14.422,13.454,12.728,13.454,12.207,12.207,12.53,12.53,13,13,12.649,12.369,13.342,12.166,13.153,12.166,13.038,13,13,12,12.042,13.038,12.166,12.166,12.369,12.369,12.649,0,0,0,0,0,0,0,0,0,0,0,0
28.46,29.12,28.16,28.636,28.636,27.295,27.166,27.074,26.077,25.08,24.021,24.021,23.022,22.023,21,21.024,19.026,18.028,18.028,17.029,16.031,15.297,14.142,13.342,13.342,12.649,10.77,10.296,10.817,10,10.63,9.899,9.899,10,10,9.434,10.296,9.849,9.487,9.487,9.487,9.22,9.22,10.198,9.055,9.055,10,9,9,10.05,9.22,9.22,0,0,0,0,0,0,0,0,0,0,0,0
26.249,26.907,25.495,26.87,25.495,25.495,24.839,24.207,23.601,22.804,23.022,22.204,20.809,20.248,19.416,18.028,17.493,15.811,15.811,14.422,15.62,14.213,13.454,13.454,11.314,12.042,10.817,10.296,10.296,9.849,9.487,9.487,9.22,9.22,9.055,10.05,9,9.055,9.055,10.05,9.055,9.22,8.246,9.22,8.544,8.544,8.944,8.944,8.602,8.602,8.602,8.602,0,0,0,0,0,0,0,0,0,0,0,0
29.069,27.785,28.302,27.459,28.018,27.203,26.401,26.249,25.495,25.612,25.495,24.083,23.345,22.672,21.213,21.213,19.105,19.105,17.692,17.029,16.279,15.62,15,14.422,13.892,13.416,12.083,11.705,11.402,11.18,10.05,10.05,11,10,10,10.05,10.198,9.22,9.487,9.487,9.487,8.944,8.944,9.434,8.602,8.602,8.602,8.485,9.22,9.434,9.434,8.062,0,0,0,0,0,0,0,0,0,0,0,0
29.155,28.636,27.731,29.069,27.785,28.302,26.627,27.203,26.401,25.807,25,23.601,22.804,22.804,22.023,20.616,20,18.601,18.601,17.205,17.205,15.811,15.264,14.765,14.318,13.928,13.601,12.369,12.166,12.042,12,12,12.042,12.042,12.166,12.166,11.402,12.369,11.705,11.705,11.705,12.083,11.18,11.18,11.662,11.662,11.662,11.402,11.402,11.314,11.314,12.042,0,0,0,0,0,0,0,0,0,0,0,0
28.792,30.083,29.547,29.967,29.069,28.653,28.302,27.459,26.627,25.807,25.807,24.413,24.207,23.601,22.023,21.401,20.616,19.209,18.601,17.205,17.205,15.811,15.264,14.765,14.318,14.318,13.601,12.369,12.166,13.038,13.038,13,12,13,13.038,12.166,13.342,12.369,12.649,12.649,12.649,13,12.083,12.083,12.53,12.083,12.53,11.662,12.207,12.806,12.806,12.806,0,0,0,0,0,0,0,0,0,0,0,0
30.15,30.067,29,29.017,29.069,29.155,27.295,26.476,26.476,24.515,24.515,23.77,22.561,21.587,20.881,19.647,18.682,16.492,16.492,15.297,15.133,14.142,12.042,12,12.042,11.18,10.44,11.705,10.77,10.296,10.817,11.402,12.042,12.042,9.899,11.402,12.207,12.207,12.207,12.207,12.53,12.53,12.53,13.416,12.083,13,13,12.649,12.649,13.342,13.342,13.342,0,0,0,0,0,0,0,0,0,0,0,0
27.459,27.166,27.074,28.018,27,25,25.08,25.08,24.187,23.195,22.204,22.091,20.224,20.224,19.235,19.105,17.263,16.125,15.033,14.036,14.036,13,13,12.042,11.18,11.402,10.77,9.849,10.296,10.817,10,10.63,10.63,9.899,10.817,11.402,10.817,10.817,11.662,11.662,11.662,12.083,10.77,10.77,11.705,11.705,11.402,11.402,11.402,11.18,12.166,12.166,0,0,0,0,0,0,0,0,0,0,0,0
25.08,26.571,25,25.71,25,23.537,24.331,24.187,23.195,21.213,22.091,21.095,20.1,19.105,18.111,18.111,16.125,15.133,14.318,14.318,13.342,12.649,12.649,12.083,11.18,10.296,10,9.899,9.22,10,9.434,10.296,10.296,9.849,10.44,10.44,10.198,10.198,10.198,11.045,11.045,10.05,11,11,10.05,10.05,10.198,10.198,10.44,10.44,10.77,10.77,0,0,0,0,0,0,0,0,0,0,0,0
29.428,29.275,29.155,30.067,29,28,27.019,28.071,27.074,26.173,25.318,24.331,23.345,22.361,22.361,21.213,20.224,19.235,17.117,17.117,16.125,16.031,16.031,15.033,14.036,14.142,13.342,12.649,12.649,13.416,12.53,13.038,13.038,12.806,13.601,13.454,13.454,12.728,14.866,13.454,13.454,13.454,13.601,12.207,13.038,13.038,13.038,12.083,12.53,13,13,12.649,0,0,0,0,0,0,0,0,0,0,0,0
21,24.083,29.017,24.331,21.587,21.84,23.537,23.537,21.84,20.248,20.616,18.682,18.682,18.028,17.464,15.524,14.56,14.318,13.153,13.342,12.166,13.038,12.042,11.045,11,11.045,11.18,10.44,10.44,10.77,9.849,10.296,10.296,10.296,10.817,10.817,11.402,10.63,11.402,10.63,11.314,11.314,11.314,10.63,10.63,10.63,10.817,10.296,10.296,10.296,10.296,9.849,0,0,0,0,0,0,0,0,0,0,0,0
24.207,24.083,23.345,24.042,23.345,23.431,22.023,22.804,21.633,20.809,20.248,19.416,18.868,18.868,17.493,16.125,16.125,14.422,14.422,13.892,13.038,12.207,12.806,12.042,11.314,11.314,10.63,10.817,10,9.434,9.849,9.487,9.487,9.487,8.544,9.22,10.198,10.05,10.05,10.05,10.05,10.05,10,10,10.05,10.05,9.055,10.198,10.198,9.22,10.198,9.487,0,0,0,0,0,0,0,0,0,0,0,0
29,29.069,28.425,29.206,28.018,27.459,26.926,26.42,25.942,25.06,24.597,23.707,23.259,21.471,21.024,20.125,19.235,18.358,17.889,17.493,17.493,15.811,15.811,15,14.213,13.454,13.454,12.806,12.207,12.53,12.53,12.53,12.083,13,12.649,12.649,12.369,13.342,12.166,13.153,13.153,13.038,12,12,12.042,12,12.042,12.042,12.166,12.369,12.369,12.369,0,0,0,0,0,0,0,0,0,0,0,0
31.321,32.016,30.806,31.575,29.428,30.265,29.275,29.155,28.071,27.074,26.019,26.019,24.021,24.021,23,22,21.024,19.026,19.026,18.028,17.029,16.125,15.133,14.318,13.342,12.369,12.083,11.18,10.817,10,10.63,10.63,10.63,10.63,10,10.296,10.296,10.77,10.77,10.44,10.44,11.402,11.18,11.18,11.045,10.05,11,11,11.045,11.045,12.042,11.18,0,0,0,0,0,0,0,0,0,0,0,0
30.15,31.145,31.016,31.016,31,29.017,31.064,30.017,28.16,28.16,25.179,25.179,24.187,23.195,22.361,21.213,20.224,19.105,17.029,17.029,16.031,15,14,13.038,12.166,11.18,10.44,8.944,9.434,8.602,8.485,9.22,8.602,8.944,8.944,8.544,9.487,9.055,9.055,9.055,9,9,9.055,9.055,9.22,9.22,8.246,8.544,8.944,8.944,9.434,8.602,0,0,0,0,0,0,0,0,0,0,0,0
33.242,33.377,33.541,32.757,32.985,32.28,31.623,31.953,30.463,29.732,28.792,27.857,26.926,25.632,24.166,23.77,20.616,20.248,19.313,18.385,17.088,15.811,15.524,14.142,14.036,13,11.045,11.18,10.44,10.77,9.849,11.18,10.296,10.817,10.63,11.314,10.63,10.817,10.817,10.817,10.296,10.296,9.849,9.849,10.44,10.77,9.487,9.22,10.05,9,10,9.055,0,0,0,0,0,0,0,0,0,0,0,0
27.659,28.16,28.16,28.46,27.514,27.857,27.313,26.401,25.495,24.597,23.707,22.361,21.471,21.471,20.125,19.235,17.889,17,15.652,15.232,14.318,13.601,12.369,12.166,11.18,10,9,9.055,8.544,8.544,8.062,8.602,8.602,9.22,9.22,9.22,8.602,8.602,9.434,9.434,8.944,8.544,9.487,9.487,8.246,8.246,9.055,8,9,9.055,9.055,8.246,0,0,0,0,0,0,0,0,0,0,0,0
29.411,32.558,31.78,39,31.78,32.28,28.284,28.443,26.571,28.16,26.249,23.77,23.77,23.087,22.561,20.881,20.248,18.028,18.385,17.889,16.553,15.264,14.765,14.213,13.454,12.728,11.402,11.662,12.083,11.705,11.705,12.369,11.18,12.042,12.042,11,12.042,12.166,12.166,12.369,11.402,11.705,11.705,11.18,11.18,11.662,11.662,11.402,11.402,11.314,12.042,11.402,0,0,0,0,0,0,0,0,0,0,0,0
31.305,31.385,30.017,30.232,30.232,29.206,28.425,27.659,26.907,25.495,25.495,24.083,22.672,22.023,21.26,19.849,19.105,17.804,17.029,17.205,15.811,14.422,13.892,14.318,13,12.649,11.18,11.045,11.045,11,11.045,11.18,10.198,11.18,10.44,11.18,10.296,12.083,11.662,10.817,11.402,10.63,11.314,11.314,10.63,12.042,11.402,10.817,11.662,11.662,12.083,11.705,0,0,0,0,0,0,0,0,0,0,0,0
35.355,34.525,33.956,34.205,33.242,33.526,31.953,31.953,30.463,29.155,28.792,26.926,25.632,24.698,23.77,22.847,21.541,20.248,20.248,18.974,17.72,16.492,16.492,15.133,14.036,14.036,12.042,12.166,11.402,11.402,10.77,11.18,10.296,10.817,10,10.63,10.63,10.63,10,10.817,9.434,10.296,9.849,9.487,10.44,9.22,10.198,10.05,10,10.05,10,10.05,0,0,0,0,0,0,0,0,0,0,0,0
33.838,33.601,33.601,34.059,33.302,32.558,31.113,30.414,29,29,28.32,26.249,25.495,24.083,23.431,21.932,20.518,20.518,19.105,17.692,16.279,15.62,14.213,14.422,13.892,13.416,11.705,10.77,10.198,10.198,10,10,9.055,9.22,9.22,9.487,8.944,9.434,8.602,8.602,8.602,8.485,8.485,8.485,9.22,9.434,9.434,8.062,9.849,9.487,10.44,10.198,0,0,0,0,0,0,0,0,0,0,0,0
31.828,29,29,30.48,26.907,28.601,27.785,24.698,24.698,23.324,23.707,22.825,21.095,18.868,19.235,17,16.553,15.264,13.892,13.038,12.806,11.402,10.63,9.22,8.602,8.602,8.544,8.062,8.062,9,9.22,10.198,9.487,10.77,10.77,11.18,12.083,11.18,11.662,11.662,12.207,11.402,12.042,12.042,12.728,12.806,13.454,12.806,14.213,13.601,13.892,13.892,0,0,0,0,0,0,0,0,0,0,0,0
31.064,28.601,29.833,27.803,27.659,28.32,26.87,25.612,24.839,25,23.601,21.401,20.616,19.209,19.209,17.205,15.62,14.866,13.454,12.728,12.042,11.402,10.63,8.944,9.849,8.544,9.055,9,9.055,9.487,9.487,9.849,9.849,10.296,11.662,10.817,11.314,12.042,12.728,12.728,12.806,12.806,12.806,12.207,13.038,13.038,13.416,14.318,14.318,14.866,14.866,14.56,0,0,0,0,0,0,0,0,0,0,0,0
27.203,26.571,26.926,26.401,26.833,25.06,24.698,23.854,22.472,22.204,20.809,20,19.209,17.804,16.401,16.401,15,14.422,13.038,11.662,11.18,9.849,9.487,9.487,8.062,8.062,8.062,8.246,7.616,8.062,8.602,8.602,9.22,9.899,9.899,10.63,10,11.402,10.817,10.817,11.662,11.18,11.18,10.77,11.705,12.649,12.649,12.369,13.342,13.153,13.153,14.142,0,0,0,0,0,0,0,0,0,0,0,0
28.231,27.514,26.249,26.926,25.71,25.318,24.187,24.187,23.087,21.095,21.024,20,19.026,18.028,16.031,16.031,15,13.038,12.042,11.18,11.18,10.44,8.544,8.062,8.062,7.81,7.81,7.211,7.616,8.246,8.246,9.055,9.055,10,10,11,11.045,11.045,11.18,11.18,11.18,12.369,11.705,12.649,12.083,12.083,13.416,12.53,12.53,12.207,13.038,13.038,0,0,0,0,0,0,0,0,0,0,0,0
26.683,27.203,26.249,26.926,24.698,24.166,24.166,22.825,21.471,20.591,19.723,18.358,17.493,17.493,16.125,15.264,14.765,13.416,12.083,11.705,11.402,10.44,9.22,9.055,8,8.062,8.544,8.544,8.602,9.22,9.22,10.63,10.63,10,11.402,10.817,11.662,11.18,12.083,12.083,12.53,12.083,12.649,13,13.601,12.369,13.342,12.042,13.038,14.036,13,13.153,0,0,0,0,0,0,0,0,0,0,0,0
27.295,27.313,26.926,26.571,26.249,24.739,24.515,23.195,22.204,22.204,21.213,20.1,19.105,18.111,17.117,16.125,15.133,14.318,14.318,13.342,12.369,11.705,11.402,11.18,10.296,10,9.899,9.899,10,10.296,10.296,11.18,11.18,10.77,11.705,11.705,11.402,12.369,12.166,12.166,12.166,12.166,12.042,13.038,13,13,13,13.038,13.038,13.153,14.142,13.153,0,0,0,0,0,0,0,0,0,0,0,0
31.016,31.145,29.155,30.414,28.636,28.862,27.893,27.203,26.249,25.298,23.77,22.847,22.472,21.541,20.248,18.385,18.028,17.088,15.811,14.56,14.56,13.342,12.166,12.042,11,11.045,10.198,9.487,9.849,9.849,9.434,10,10,9.22,9.899,9.22,10,10,9.434,10.296,9.434,9.849,9.487,9.487,9.487,9.22,10,10.05,10,10,10.05,11.045,0,0,0,0,0,0,0,0,0,0,0,0
27.857,28.792,25.632,28.16,24.739,26.683,26.476,23.537,23.195,22.204,22.361,21.213,20.1,18.111,18.111,17.117,17.117,15.133,14.142,14.142,12.369,11.402,10.44,9.849,9.849,8.944,7.81,7.071,7.81,7.211,7.211,7.616,7.616,7.28,7.28,7.071,7.071,7,7.071,7.071,7.071,7.28,6.708,6.708,6.708,6.708,6.403,7.071,6.403,7.211,8.062,7.211,0,0,0,0,0,0,0,0,0,0,0,0
31.145,31.145,32.016,32,32.016,30.067,29.069,29.275,27.166,27.295,26.306,24.331,23.345,22.361,21.378,20.224,19.105,18.248,17.117,16.031,15.033,14,13,12.042,11.045,10.198,8.544,8.944,8.062,7.81,7.81,7.81,7.211,7.211,7.616,7.616,7.28,7.28,7.071,7,6,6,6.083,6.325,6.325,5.831,5.657,5.657,6.403,6.708,7.211,6.708,0,0,0,0,0,0,0,0,0,0,0,0
31.906,32.202,31.401,31.89,31.145,29.698,28.32,28.425,27.803,26.249,26.249,24.083,23.431,22.672,21.401,20,18.439,17.029,17.029,16.279,14.866,14.142,13.454,12.207,11.662,11.18,10.44,10.44,11.045,10,11.045,10.05,11.18,11.402,11.402,11.705,12.649,12.53,11.662,12.207,13.038,13.601,12.207,13.454,13.454,13.454,13.454,13.454,14.213,14.422,13.601,14.422,0,0,0,0,0,0,0,0,0,0,0,0
